,index,receive,rec_bogo,rec_discount,rec_informational,comp,view_comp,noview_comp,bogo,discount,informational,ae264e3637204a6fb9bb56bc8210ddfd,4d5c57ea9a6940dd891ad53e9dbe8da0,3f207df678b143eea3cee63160fa8bed,9b98b8c7a33c4b65b9aebfe6a799e6d9,0b1e1539f2cc45b7b9fa7c272da2e1d7,2298d6c36e964ae4a3e7e9706d1fb8c2,fafdcd668e3743c1bb461111dcafc2a4,5a8bc65990b245e5a138643cd4eb9837,f19421c1d4aa40978ebb69ca19b0e20d,2906b810c7d4411798c6938adc9daaa5
0,0009655768c64bdeb2e877511632db8f,5,1,2,2,3,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0
1,00116118485d4dfda04fdbaba9a87b5c,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0011e0d4e6b944f998e987f904e8c1e5,5,1,2,2,3,3,0,1,2,0,0,0,0,1,1,1,0,0,0,0
3,0020c2b971eb4e9188eac86d93036a77,5,2,2,1,3,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0
4,0020ccbbb6d84e358d3414a3ff76cffd,4,2,1,1,3,3,0,2,1,0,0,0,0,1,0,1,0,0,1,0
5,003d66b6608740288d6cc97a6903f4f0,5,0,3,2,3,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0
6,00426fe3ffde4c6b9cb9ad6d077a13ea,5,0,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,004b041fbfe44859945daa2c7f79ee64,3,1,1,1,2,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0
8,004c5799adbf42868b9cff0396190900,5,3,2,0,5,4,1,2,2,0,0,0,0,0,0,0,2,0,2,0
9,005500a7188546ff8a767329a2f7c76a,5,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0056df74b63b4298809f0b375a304cf4,4,1,2,1,3,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
11,0063def0f9c14bc4805322a488839b32,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0069a50874d846438e58acff5e594725,4,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,00715b6e55c3431cb56ff7307eb19675,6,2,3,1,5,3,2,1,2,0,1,0,0,0,1,0,0,0,0,1
14,0082fd87c18f45f2be70dbcbb0fb8aad,5,2,0,3,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
15,00840a2ca5d2408e982d56544dc14ffd,6,1,4,1,3,2,1,0,2,0,0,0,0,0,0,0,1,0,0,1
16,00857b24b13f4fe0ad17b605f00357f5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,008d7088107b468893889da0ede0df5c,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0091d2b6a5ea4defaa8393e4e816db60,5,4,1,0,4,4,0,3,1,0,0,1,0,0,1,0,0,0,2,0
19,0092a132ead946ceb30d11a1ed513d20,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0099bf30e4cb4265875266eb3eb25eab,5,1,4,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
21,009d10c2c38a4fd795a7bc6ddbbddb78,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,00a794f62b9a48beb58f8f6c02c2f1a6,5,2,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
23,00ad4c2cace94f67a6354ec90d6c6f45,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,00ae03011f9f49b8a4b3e6d416678b0b,6,2,3,1,4,4,0,2,2,0,2,0,0,0,0,2,0,0,0,0
25,00aee28bbb3848dd8a31f0c91dc267dd,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,00b18b535d6d4f779dea4dc9ac451478,5,1,3,1,3,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0
27,00b3400e4ff64ee68ce9ada1d0c222f0,5,1,2,2,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0
28,00b3c376db2a4115af3aef34a02f61d6,3,2,1,0,3,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0
29,00b5fb9d842d437e83033ad9e36f7148,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,00b901d68f8f4fd68075184cd0f772d2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,00bbce6533f44ddeaf4dd32bcab55441,4,1,2,1,3,3,0,1,2,0,0,0,0,1,0,0,1,0,0,1
32,00bc42a62f884b41a13cc595856cf7c3,5,1,4,0,5,4,1,1,3,0,1,0,0,0,0,1,1,0,0,1
33,00bc983061d3471e8c8e74d31b7c8b6f,4,2,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
34,00c20a9202d5475190b31a24de6fb06d,4,2,2,0,4,4,0,2,2,0,0,1,0,0,1,1,0,0,1,0
35,00c2f812f4604c8893152a5c6572030e,5,3,2,0,3,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0
36,00c32a104f0c4065b5b552895fb22e34,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,00c5a385c71a4d3db5e9b4e31e430943,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,00c6035df45840038a72766c6d27a0db,4,1,2,1,3,3,0,1,2,0,1,0,0,0,0,1,1,0,0,0
39,00c91f31f5f74e769fa7a359b63e1a9f,5,0,3,2,3,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0
40,00ceaf16a40341e6996d543d04daa2c2,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,00cf1bbec83f4a658f8994e556db4633,3,0,3,0,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,1
42,00cf471ed1aa42a8bdde5561d67da2b1,5,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,00d6dc87be4146ceb47fcd4baaaf6477,6,3,2,1,5,4,1,3,1,0,0,1,0,1,0,0,1,0,1,0
44,00d791e20c564add8056498e40eb56cc,5,3,1,1,4,4,0,3,1,0,0,1,0,1,0,1,0,0,1,0
45,00d7c95f793a4212af44e632fdc1e431,5,2,3,0,5,3,2,2,1,0,0,1,0,1,0,0,1,0,0,0
46,00d91c5919514448bc4f718e4e3f26ab,5,2,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
47,00e20b4ca129458aaab0f4727ef3513a,3,1,2,0,2,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0
48,00e52682848542c3a6f59b7824e9a5c5,5,2,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
49,00e8d701c583461e81cc10053681a12b,4,1,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
50,00e9f403afa641889cd034ee7c7ca6e9,5,0,3,2,3,3,0,0,3,0,0,0,0,0,2,1,0,0,0,0
51,00ed7e22b32749cfafbfd88592d401d4,4,2,2,0,3,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0
52,00ee2ca6421c4af0aeca60a1b3e00f6c,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,00ee69db83964d6da32f8109b32a1ce7,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,00fac72fd6ad448e8019b175267023df,4,2,2,0,4,4,0,2,2,0,2,0,0,0,2,0,0,0,0,0
55,00fbb9b5edb94f02afbaf1eb49bb4d7d,3,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
56,00fdd4416dec40b49180814c0a7c8d76,3,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
57,0100dbd4e8554aa69b73b6ac0547f6bf,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0103de989e084e0fab400e80678d7591,5,2,3,0,5,3,2,2,1,0,0,0,0,0,0,0,1,0,2,0
59,0106d19a26af41288035afc4b9b6c2c2,5,1,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
60,01162252405b4524a8fa1bf8e6d5f04b,6,2,3,1,4,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0
61,01176ee7289b48e39ee6261d5c071a07,4,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0118fbb66dd2443a9dd407d2c99a7672,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0121fe001b7a404fa9cbe486f8944baf,6,3,2,1,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0
64,0123564dbaf144a88a418c33b6350c17,5,2,1,2,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
65,012ee55a90bd4d969b0d0cdfaffdf6ab,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,013094309e1b49e095c098df412d125d,5,3,2,0,3,3,0,1,2,0,0,0,0,0,0,1,0,0,1,1
67,01380da907f8495496679c795867790b,4,3,0,1,2,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0
68,013f2c82889f4641a9b847a48861cce0,4,2,1,1,3,3,0,2,1,0,0,0,0,0,1,0,0,0,2,0
69,0141d3870a424c03a20390040efad826,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,01443a2afce54939a323c978f467c540,5,3,2,0,5,5,0,3,2,0,1,0,0,1,1,0,1,0,1,0
71,014899c751254a62a96ce676eb11ddc2,6,1,2,3,3,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0
72,0155a21497d54684a55c3bc609843768,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0157e63b39c5456393026c6c03f3d84a,3,2,1,0,3,3,0,2,1,0,0,1,0,0,1,0,0,0,1,0
