,person,total,view_complete_tran,noview_complete_tran,gender,age,became_member_on,income,receive,rec_bogo,rec_discount,rec_informational,comp,view_comp,noview_comp,vc_bogo,vc_discount,vc_informational,ae264e3637204a6fb9bb56bc8210ddfd,4d5c57ea9a6940dd891ad53e9dbe8da0,3f207df678b143eea3cee63160fa8bed,9b98b8c7a33c4b65b9aebfe6a799e6d9,0b1e1539f2cc45b7b9fa7c272da2e1d7,2298d6c36e964ae4a3e7e9706d1fb8c2,fafdcd668e3743c1bb461111dcafc2a4,5a8bc65990b245e5a138643cd4eb9837,f19421c1d4aa40978ebb69ca19b0e20d,2906b810c7d4411798c6938adc9daaa5
0,0009655768c64bdeb2e877511632db8f,127.6,22.68,104.92,M,33,736440,72000.0,5,1,2,2,3,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0
1,00116118485d4dfda04fdbaba9a87b5c,4.09,0.0,4.09,,118,736809,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0011e0d4e6b944f998e987f904e8c1e5,79.46,33.98,45.48,O,40,736703,57000.0,5,1,2,2,3,3,0,1,2,0,0,0,0,1,1,1,0,0,0,0
3,0020c2b971eb4e9188eac86d93036a77,196.86,34.87,161.99,F,59,736027,90000.0,5,2,2,1,3,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0
4,0020ccbbb6d84e358d3414a3ff76cffd,154.05,36.5,117.55,F,24,736279,60000.0,4,2,1,1,3,3,0,2,1,0,0,0,0,1,0,1,0,0,1,0
5,003d66b6608740288d6cc97a6903f4f0,48.34,8.67,39.67,F,26,736501,73000.0,5,0,3,2,3,2,1,0,2,0,0,0,0,0,0,0,2,0,0,0
6,00426fe3ffde4c6b9cb9ad6d077a13ea,68.51,16.97,51.54,F,19,736185,65000.0,5,0,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,004b041fbfe44859945daa2c7f79ee64,138.36,47.85,90.51,F,55,736822,74000.0,3,1,1,1,2,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0
8,004c5799adbf42868b9cff0396190900,347.38,135.61,211.77,M,54,736054,99000.0,5,3,2,0,5,4,1,2,2,0,0,0,0,0,0,0,2,0,2,0
9,005500a7188546ff8a767329a2f7c76a,20.36,0.0,20.36,M,56,736672,47000.0,5,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0056df74b63b4298809f0b375a304cf4,144.14,57.63,86.51,M,54,736197,91000.0,4,1,2,1,3,2,1,1,1,0,0,0,0,1,0,1,0,0,0,0
11,0063def0f9c14bc4805322a488839b32,7.21,0.0,7.21,,118,736860,,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0069a50874d846438e58acff5e594725,33.5,0.0,33.5,,118,736087,,4,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,00715b6e55c3431cb56ff7307eb19675,375.12,77.34,297.78,F,58,736670,119000.0,6,2,3,1,5,3,2,1,2,0,1,0,0,0,1,0,0,0,0,1
14,0082fd87c18f45f2be70dbcbb0fb8aad,121.85,19.24,102.61,F,28,736580,68000.0,5,2,0,3,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
15,00840a2ca5d2408e982d56544dc14ffd,62.93,11.16,51.77,M,26,735588,61000.0,6,1,4,1,3,2,1,0,2,0,0,0,0,0,0,0,1,0,0,1
16,00857b24b13f4fe0ad17b605f00357f5,6.26,0.0,6.26,M,71,736625,41000.0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,008d7088107b468893889da0ede0df5c,16.18,0.0,16.18,M,24,736582,42000.0,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0091d2b6a5ea4defaa8393e4e816db60,279.16,115.44,163.72,F,62,736132,81000.0,5,4,1,0,4,4,0,3,1,0,0,1,0,0,1,0,0,0,2,0
19,0092a132ead946ceb30d11a1ed513d20,2.54,0.0,2.54,,118,736816,,6,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0099bf30e4cb4265875266eb3eb25eab,105.83,5.76,100.07,M,61,736739,66000.0,5,1,4,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
21,009d10c2c38a4fd795a7bc6ddbbddb78,11.78,0.0,11.78,,118,736872,,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,00a794f62b9a48beb58f8f6c02c2f1a6,166.4,11.27,155.13,F,88,735895,54000.0,5,2,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
23,00ad4c2cace94f67a6354ec90d6c6f45,20.73,0.0,20.73,,118,736194,,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
